country,country_code,unemployment,inflation,gdp_growth,life_expectancy,population_growth,unemployment_lag1,inflation_lag1,gdp_growth_lag1,life_expectancy_lag1,population_growth_lag1,unemployment_lag2,inflation_lag2,gdp_growth_lag2,life_expectancy_lag2,population_growth_lag2,unemployment_change_1y,inflation_change_1y,gdp_growth_change_1y,life_expectancy_change_1y,population_growth_change_1y,unemployment_trend_3y,inflation_trend_3y,gdp_growth_trend_3y,life_expectancy_trend_3y,population_growth_trend_3y
Latvia,LVA,6.465,8.9380462331663,-0.941606068823631,75.4268292682927,0.22997050070229,6.815,17.3102830198815,1.90853419029801,74.2780487804878,-0.271369577775699,7.513,3.27582937431165,6.94254173062592,72.9804878048781,-0.843294678005026,-0.35000000000000053,-8.372236786715199,-2.850140259121641,1.1487804878049133,0.501340078477989,-0.5240000000000001,2.8311084294273274,-3.9420738997247753,1.2231707317072957,0.536632589353658
"Macao SAR, China",MAC,2.206,0.476384495788075,75.3084184293413,83.1804878048781,0.221222713921319,2.446,1.04502802369954,-18.956941494497,83.0804878048781,-0.764822083825685,2.221,0.0264543647055504,22.4622020023362,83.7292682926829,-0.424008238139362,-0.2400000000000002,-0.568643527911465,94.2653599238383,0.09999999999999432,0.9860447977470039,-0.007500000000000037,0.22496506554126242,26.42310821350254,-0.27439024390240263,0.3226154760303403
Morocco,MAR,8.896,6.09114152504141,3.65564411017931,75.313,1.02195181223548,9.413,6.65704202759067,1.81269242194809,75.161,1.00863622672701,10.551,1.40195883962006,8.15473889823681,73.385,1.00691847923959,-0.5169999999999995,-0.56590050254926,1.8429516882312198,0.15200000000000102,0.013315585508470118,-0.827500000000001,2.3445913427106753,-2.2495473940287516,0.9639999999999972,0.007516666497945088
Moldova,MDA,1.57,13.4170104381299,1.2000000493378,71.198,-2.84274212689094,0.909,28.7372976766235,-4.6000000255323,71.546,-2.62110760462091,0.794,5.10641129002835,13.9299997889786,68.991,-1.50342952349937,0.661,-15.320287238493599,5.8000000748701,-0.3480000000000132,-0.22163452227002978,0.388,4.155299574050776,-6.364999869820403,1.1034999999999837,-0.669656301695785
Madagascar,MDG,3.044,9.87432675044888,4.20304615840668,63.632,2.46201530433165,3.186,8.16059031991844,4.15609778386296,63.068,2.48207836172625,3.498,5.81225118787715,4.65068343174309,62.516,2.51537360931706,-0.1419999999999999,1.7137364305304406,0.04694837454372003,0.5640000000000001,-0.02006305739459968,-0.2270000000000001,2.0310377812858644,-0.22381863666820442,0.5580000000000066,-0.026679152492705045
Maldives,MDV,4.019,2.92746542425035,4.94286301229583,81.041,0.359585188904548,4.303,2.33314337624567,13.8260895184139,80.76,1.528878337276,5.016,0.543149688737013,37.507870124321,78.052,2.75700187362712,-0.2839999999999998,0.5943220480046802,-8.88322650611807,0.2809999999999917,-1.169293148371452,-0.49850000000000055,1.1921578677566684,-16.28250355601259,1.4944999999999886,-1.1987083423612857
Mexico,MEX,2.765,5.52796087314389,3.35354140652768,75.069,0.872178517508623,3.256,7.8962761916855,3.70975709163623,73.973,0.753116988604166,4.019,5.68920847683753,6.0484834621255,69.75,0.66740537533078,-0.49099999999999966,-2.36831531854161,-0.35621568510855006,1.0960000000000036,0.11906152890445698,-0.6269999999999999,-0.08062380184682014,-1.3474710277989097,2.6594999999999955,0.10238657108892141
North Macedonia,MKD,13.174,9.36187249769015,2.554965253403,75.3160975609756,-0.212923714310977,14.476,14.2047173195833,2.75888415332967,74.4248780487805,-0.294481335654044,15.801,3.23074912132928,4.51067949038222,73.2463414634146,-1.02945804668594,-1.3020000000000014,-4.84284482189315,-0.2039188999266699,0.8912195121951072,0.08155762134306699,-1.313499999999999,3.0655616881804364,-0.97785711848961,1.0348780487804994,0.4082671661874816
Mali,MLI,2.947,2.05880228274223,4.72541109080376,60.439,2.97400537620334,2.387,9.62147608489064,3.70319027595568,60.035,3.00942592606239,4.006,3.92560283104277,3.10094124444834,59.116,3.06035796580474,0.56,-7.56267380214841,1.0222208148480805,0.40400000000000347,-0.03542054985905008,-0.5295000000000002,-0.933400274150269,0.8122349231777102,0.6615000000000075,-0.0431762948007001
Malta,MLT,3.479,5.09396758978883,10.6215185022616,83.3560975609756,3.99255876861009,3.471,6.15375621933037,2.48309993837792,82.2975609756098,2.47100289980875,3.754,1.49789217934724,13.4117042939322,82.2585365853659,0.51468710034629,0.008000000000000007,-1.05978862954154,8.138418563883679,1.0585365853658004,1.52155586880134,-0.13749999999999968,1.7980377052207952,-1.3950928958353017,0.5487804878048435,1.7389358341318997
