country_code,unemployment,inflation,gdp_growth,life_expectancy,population_growth,unemployment_lag1,inflation_lag1,gdp_growth_lag1,life_expectancy_lag1,population_growth_lag1,unemployment_lag2,inflation_lag2,gdp_growth_lag2,life_expectancy_lag2,population_growth_lag2,unemployment_change_1y,inflation_change_1y,gdp_growth_change_1y,life_expectancy_change_1y,population_growth_change_1y,unemployment_trend_3y,inflation_trend_3y,gdp_growth_trend_3y,life_expectancy_trend_3y,population_growth_trend_3y
GNQ,8.021416666666667,2.4712147351634415,-3.0428506640835633,61.531,3.31058142809677,7.989666666666667,2.633372581928757,-2.075081301532393,61.12433333333333,3.4714172394502185,7.949083333333333,2.883576617995741,-3.0873883186243964,60.70675,3.6449864297601366,0.03175000000000002,-0.162157846765315,-0.967769362551171,0.4066666666666669,-0.1608358113534483,0.03616666666666663,-0.2061809414161496,0.022268827270416236,0.4121249999999999,-0.16720250083168328
GRC,19.938416666666665,0.9826867104627132,0.2383348449146858,81.194918699187,-0.54061649097397,20.517583333333334,0.9714410394937506,-0.7627226611660426,81.11117886178863,-0.5293333019468537,20.541999999999998,0.5604184782268781,-1.6973665796405744,81.07784552845528,-0.4136024777852885,-0.5791666666666666,0.011245670968962488,1.001057506080728,0.08373983739837482,-0.011283189027116428,-0.3017916666666666,0.21113411611791758,0.9678507122776301,0.058536585365854286,-0.06350700659434073
GTM,2.5883333333333334,4.235356777947305,3.530160772429491,70.91891666666668,1.6932354216942873,2.6570833333333335,4.235985778609783,3.5827232195278396,70.72883333333333,1.73106826702828,2.6942500000000003,3.983850850683844,3.4743613241584086,70.61874999999999,1.7790122301066,-0.06875,-0.0006290006624782666,-0.05256244709834912,0.19008333333333383,-0.03783284533399248,-0.05295833333333331,0.1257529636317305,0.027899724135541277,0.15008333333333343,-0.04288840420615623
GUY,13.100583333333333,2.101431067952025,15.775717456611028,67.90466666666667,0.8507614166209462,13.09175,2.281150425124799,13.392487493664612,67.59541666666667,0.7684831458956021,13.068833333333332,2.082677264786725,8.459471429988605,67.28841666666666,0.6743169444268932,0.008833333333333316,-0.17971935717277424,2.3832299629464146,0.3092500000000011,0.08227827072534416,0.01587499999999999,0.009376901582649977,3.658123013311211,0.30812500000000104,0.08822223609702644
HKG,3.6485,2.5663843108113427,1.3789830945370225,84.5283130081301,0.5301503681279637,3.6879166666666667,2.8337712955987016,1.511553655472965,84.37536585365855,0.3734019201983973,3.688833333333333,2.868064946771885,2.3825096959854593,84.31674796747969,0.5102653302551814,-0.03941666666666669,-0.26738698478735917,-0.1325705609359423,0.15294715447154178,0.15674844792956644,-0.020166666666666666,-0.15084031798027123,-0.5017633007242184,0.10578252032519997,0.009942518936391162
HND,6.7132499999999995,4.893295167482105,3.356544579309652,71.42333333333333,1.8353919051365732,6.5802499999999995,4.901547481621524,3.3781981674372297,71.19266666666667,1.8647272678811133,6.192333333333333,4.535651776164191,3.3438297011199314,70.94725,1.9021585895428474,0.133,-0.008252314139419145,-0.02165358812757745,0.2306666666666667,-0.029335362744539992,0.2604583333333333,0.17882169565895675,0.006357439094860418,0.23804166666666696,-0.03338334220313705
HRV,11.117166666666668,2.3880382227790533,2.294307972635966,77.62743902439026,-0.8626041093327287,11.746916666666666,1.9156586808506362,1.971595295179198,77.48597560975611,-0.9001141472340626,12.147666666666666,1.1031565456395647,1.252386948514497,77.39430894308944,-0.8687224237865713,-0.62975,0.47237954192841686,0.32271267745676807,0.14146341463414203,0.037510037901333906,-0.51525,0.6424408385697441,0.5209605120607346,0.11656504065040468,0.003059157226921299
HTI,14.260666666666665,15.313045525863805,0.39448507378465375,63.493500000000004,1.3348733180864116,14.264583333333334,12.772985405897558,0.974659886005382,63.21391666666667,1.3328508315523881,14.32325,10.34326956870395,0.643865922213448,61.683,1.3360865338048258,-0.003916666666666715,2.5400601199662485,-0.5801748122207283,0.2795833333333337,0.002022486534023368,-0.031291666666666725,2.484887978579927,-0.12469042421439709,0.9052500000000002,-0.0006066078592070733
HUN,5.667916666666667,4.683233298852707,2.679372270679005,75.67926829268293,-0.3233748327952045,6.245666666666666,3.5836462173091235,2.907190315388244,75.53658536585367,-0.33579910399910173,6.8780833333333335,2.770930717948812,2.650154490698925,75.39817073170732,-0.33222941440157583,-0.57775,1.0995870815435833,-0.2278180447092395,0.1426829268292664,0.01242427120389724,-0.6050833333333333,0.9561512904519475,0.014608889990039694,0.1405487804878043,0.004427290803185648
IDN,4.023333333333333,4.031029903846462,4.480027809670857,69.59941666666667,0.9974336662204655,4.177083333333333,4.171585065723813,4.573424550450033,69.38966666666666,1.0336021803152138,4.356416666666667,4.248646878474731,4.6498126299480065,69.17625,1.0764764246229441,-0.15374999999999997,-0.14055516187735087,-0.09339674077917574,0.20974999999999958,-0.03616851409474847,-0.16654166666666662,-0.10880848731413419,-0.08489241013857414,0.21158333333333287,-0.0395213792012394
