country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MDA,2.972,2.677,2.189,1.894,1.45,1.781,1.591,1.622,1.239,1.502,1.206,0.794,0.909,1.57,1.427
MDG,4.28,2.516,0.599,0.995,1.385,1.785,1.949,2.123,2.303,2.479,3.292,3.498,3.186,3.044,3.051
MDV,10.875,10.043,9.134,8.295,7.461,6.611,5.771,5.377,4.962,4.562,5.42,5.016,4.303,4.019,4.278
MEX,5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.44,4.019,3.256,2.765,2.678
MHL,,,,,,,,,,,,,,,
MKD,33.135,31.502,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174,12.265
MLI,1.375,1.403,1.462,1.517,1.476,1.404,1.367,1.498,1.62,3.29,3.528,4.006,2.387,2.947,2.924
MLT,6.861,6.388,6.203,6.115,5.737,5.389,4.694,4.008,3.956,4.08,4.856,3.754,3.471,3.479,3.1
MMR,0.725,0.749,0.768,0.775,0.763,0.766,1.058,1.356,0.767,0.407,1.476,4.34,3.063,2.977,2.887
MNE,19.649,19.759,19.808,19.585,18.054,17.555,17.732,16.082,15.19,15.128,17.878,16.543,14.851,13.146,13.206
MNG,6.549,4.769,3.905,4.231,4.798,4.861,7.235,6.359,5.377,9.024,6.413,7.871,5.954,5.178,5.158
MNP,,,,,,,,,,,,,,,
MOZ,3.259,3.295,3.304,3.345,3.377,3.426,3.65,3.935,4.21,4.462,5.019,5.413,6.789,6.661,6.668
MRT,10.093,9.976,9.864,9.926,10.026,10.104,10.287,10.336,10.411,10.416,11.051,11.131,10.52,10.37,10.257
MUS,7.654,7.447,7.472,7.322,7.467,7.41,6.814,6.752,6.426,6.331,8.626,7.719,6.322,5.571,5.548
MWI,4.78,4.829,4.949,4.978,4.967,4.953,5.011,5.046,5.021,4.964,5.72,5.652,5.02,5.009,5.051
MYS,3.32,3.05,3.04,3.14,2.88,3.1,3.44,3.41,3.3,3.33,4.54,4.64,3.93,3.858,3.846
NAM,22.12,19.481,16.771,19.028,18.521,20.791,23.352,21.748,19.877,19.929,21.003,20.931,19.615,19.154,19.157
NCL,13.998,13.988,14.116,14.39,14.59,13.621,12.679,11.676,11.702,10.88,13.558,11.574,10.71,10.922,10.991
NER,0.718,0.316,2.177,1.401,0.524,0.556,0.55,0.556,0.536,0.531,0.591,0.806,0.403,0.407,0.376
NGA,3.744,3.77,3.761,3.711,3.9,4.134,4.499,4.83,5.069,5.206,5.714,5.404,3.827,3.074,3.045
NIC,7.83,6.613,5.208,5.28,4.52,4.7,3.9,3.3,5.2,5.457,6.18,6.076,4.969,4.698,4.98
NLD,4.991,4.977,5.821,7.241,7.419,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.535,3.7
